nome;largura;altura;posicaoX;posicaoY;grau-textura;entropia;segundo-momento-ang;correlacao;energia;media-i;media-j;variancia-i;variancia-j;desvio-padrao-i;desvio-padrao-j;contraste;homogeneidade;media-tons-cinza;
98;66;18;1675;1256;0;0.5460022540063083;0.31620863467017307;0.9644189915689101;0.562324314493134;1.9623931623931623;1.9444444444444446;0.5797823069617941;0.5875118708452042;0.7614343746914728;0.7664932294842559;0.041880341880341884;0.9790598290598289;79.0;
98;66;18;1675;1256;45;0.5811452285257519;0.2961470895354313;0.9335734743372399;0.5441939815317983;1.909502262443439;1.9837104072398188;0.556516041850085;0.5825400790319608;0.7460000280496543;0.7632431323188966;0.08144796380090498;0.9592760180995474;79.0;
98;66;18;1675;1256;90;0.597382590703198;0.28599457932581557;0.9205956546593376;0.5347846102178105;1.8966131907308377;1.9884135472370765;0.5597211498438299;0.5782971266613921;0.748145139557713;0.7604584976587427;0.09893048128342247;0.9505347593582888;79.0;
98;66;18;1675;1256;135;0.6172273640155288;0.27354476771564873;0.9041448220937964;0.5230150740807082;1.8914027149321266;2.001809954751131;0.5637722405356156;0.5737523801723962;0.7508476813146696;0.7574644415234263;0.12126696832579185;0.9393665158371041;79.0;
98;66;18;1675;1256;180;0.5460022540063083;0.31620863467017307;0.9644189915689101;0.562324314493134;1.9444444444444446;1.9623931623931623;0.5875118708452042;0.5797823069617941;0.7664932294842559;0.7614343746914728;0.041880341880341884;0.9790598290598289;79.0;
98;66;18;1675;1256;225;0.5811452285257519;0.2961470895354313;0.9335734743372399;0.5441939815317983;1.9837104072398188;1.909502262443439;0.5825400790319608;0.556516041850085;0.7632431323188966;0.7460000280496543;0.08144796380090497;0.9592760180995474;79.0;
98;66;18;1675;1256;270;0.597382590703198;0.28599457932581557;0.9205956546593376;0.5347846102178105;1.9884135472370765;1.8966131907308377;0.5782971266613921;0.5597211498438299;0.7604584976587427;0.748145139557713;0.09893048128342247;0.9505347593582888;79.0;
98;66;18;1675;1256;315;0.6172273640155288;0.27354476771564873;0.9041448220937964;0.5230150740807082;2.001809954751131;1.8914027149321266;0.5737523801723962;0.5637722405356156;0.7574644415234263;0.7508476813146696;0.12126696832579187;0.9393665158371041;79.0;
98;17;19;751;1247;0;0.5438582032815839;0.3671442174515235;0.8707095203559535;0.6059242670924506;2.5526315789473686;2.50328947368421;0.4182825484764543;0.4013049688365651;0.6467476698655004;0.6334863604187269;0.10855263157894737;0.9457236842105262;100.0;
98;17;19;751;1247;45;0.5955532017090183;0.3254967206790123;0.7338478126296711;0.570523199071705;2.5520833333333335;2.4305555555555554;0.4278428819444444;0.3146219135802469;0.65409699735165;0.5609116807307964;0.21875;0.8906249999999999;100.0;
